"run","tick","OriginOfConsumedResouces"
1,2.0,"Southern Asia:Northern America|72387.74;South America|8109.36;Central Asia|7854.76;Eastern Europe|61519.05;Northern Europe|7518.89;Western Europe|57816.31;Oceania|40524.29;Russian Federation|20765.4;India|6150.44;Pakistan|7193.51;United States of America|90212.12;China|44840.77;"
1,2.0,"Western Asia:Northern America|37188.72;South America|7584.71;Central Asia|3764.94;Eastern Europe|29487.85;Northern Europe|3605.56;Western Europe|27716.68;Oceania|16803.49;Russian Federation|19421.46;India|2950.12;Pakistan|6728.75;United States of America|43242.72;China|41944.41;"
1,2.0,"Eastern Asia:Northern America|149360.02;South America|8492.09;Central Asia|18976.54;Eastern Europe|126937.6;Northern Europe|15515.72;Western Europe|119301.53;Oceania|83617.12;Russian Federation|21752.64;India|10165.32;Pakistan|7534.23;United States of America|186139.8;China|46981.87;"
1,2.0,"Southern Africa:Northern America|7446.2;South America|6420.73;Central Asia|811.66;Eastern Europe|6328.0;Northern Europe|777.45;Western Europe|5950.19;Oceania|4170.18;Russian Federation|16444.08;India|632.68;Pakistan|5697.38;United States of America|9283.12;China|35511.64;"
1,2.0,"South-Eastern Asia:Northern America|89214.84;South America|8235.29;Central Asia|9681.84;Eastern Europe|75820.25;Northern Europe|9266.44;Western Europe|71262.07;Oceania|49945.26;Russian Federation|21088.32;India|7577.12;Pakistan|7302.98;United States of America|111186.8;China|45542.8;"
1,2.0,"Caribbean:Northern America|26389.74;South America|7312.13;Central Asia|2671.78;Eastern Europe|20926.3;Northern Europe|2559.82;Western Europe|19666.15;Oceania|11923.61;Russian Federation|18724.8;India|2091.52;Pakistan|6487.93;United States of America|30682.56;China|40442.63;"
1,3.0,"Pakistan:Northern America|45919.3;South America|10170.36;Central Asia|6101.75;Eastern Europe|45806.32;Northern Europe|5769.08;Western Europe|43051.8;Oceania|24025.47;Russian Federation|25998.38;India|3402.32;Pakistan|1024436.81;United States of America|59966.15;China|57578.2;"
1,3.0,"India:Northern America|30230.34;South America|8731.49;Central Asia|16944.95;Eastern Europe|38356.12;Northern Europe|17888.76;Western Europe|32460.2;Oceania|16278.4;Russian Federation|25544.42;India|4550388.08;Pakistan|8863.73;United States of America|44849.5;China|56578.2;"
1,3.0,"Western Europe:Northern America|30076.14;South America|10949.5;Central Asia|16240.05;Eastern Europe|61091.88;Northern Europe|17308.32;Western Europe|2730245.4;Oceania|16017.54;Russian Federation|28053.68;India|44940.88;Pakistan|9735.94;United States of America|44644.85;China|62099.8;"
1,3.0,"China:Northern America|292372.22;South America|10689.12;Central Asia|37937.3;Eastern Europe|295164.48;Northern Europe|36249.2;Western Europe|277216.4;Oceania|152146.13;Russian Federation|30523.98;India|14660.72;Pakistan|9485.29;United States of America|381478.4;China|6804610.2;"
1,3.0,"United States of America:Northern America|29778.22;South America|11015.33;Central Asia|16274.15;Eastern Europe|62141.28;Northern Europe|17320.48;Western Europe|48944.4;Oceania|15788.78;Russian Federation|28159.36;India|44961.28;Pakistan|9763.49;United States of America|2891218.75;China|62323.6;"
1,3.0,"Northern Africa:Northern America|226430.2;South America|7732.51;Central Asia|24431.55;Eastern Europe|178550.12;Northern Europe|22833.7;Western Europe|177020.0;Oceania|102694.83;Russian Federation|19766.84;India|11026.84;Pakistan|8518.38;United States of America|261386.0;China|43780.4;"
1,3.0,"Russian Federation:Northern America|421055.3;South America|9978.18;Central Asia|47941.6;Eastern Europe|373888.52;Northern Europe|45862.74;Western Europe|351164.0;Oceania|192554.38;Russian Federation|2902392.48;India|17851.56;Pakistan|8851.64;United States of America|547449.6;China|56479.8;"
1,3.0,"Western Africa:Northern America|28580.12;South America|7210.07;Central Asia|2940.6;Eastern Europe|22994.96;Northern Europe|2815.16;Western Europe|21593.2;Oceania|15907.85;Russian Federation|18467.62;India|2266.76;Pakistan|6397.28;United States of America|33662.05;China|39053.4;"
1,3.0,"South America:Northern America|49309.02;South America|1163424.02;Central Asia|6294.4;Eastern Europe|48961.76;Northern Europe|6172.76;Western Europe|46163.2;Oceania|25662.24;Russian Federation|26186.5;India|2490.8;Pakistan|9089.83;United States of America|63540.5;China|58002.0;"
1,3.0,"Northern Europe:Northern America|28560.34;South America|9457.42;Central Asia|15958.5;Eastern Europe|58195.52;Northern Europe|1469193.8;Western Europe|45425.2;Oceania|15212.19;Russian Federation|24171.04;India|39128.76;Pakistan|8391.56;United States of America|46512.75;China|53538.0;"
1,3.0,"Northern America:Northern America|743478.64;South America|9285.27;Central Asia|14070.85;Eastern Europe|51319.68;Northern Europe|16533.66;Western Europe|39804.8;Oceania|12922.26;Russian Federation|23782.6;India|42739.4;Pakistan|7678.93;United States of America|51232.55;China|47210.6;"
1,3.0,"Oceania:Northern America|22813.36;South America|8337.4;Central Asia|12632.1;Eastern Europe|46071.92;Northern Europe|13402.34;Western Europe|35737.2;Oceania|389202.02;Russian Federation|21351.92;India|37274.32;Pakistan|7396.47;United States of America|45996.85;China|43915.8;"
1,3.0,"Eastern Africa:Northern America|23227.44;South America|6361.68;Central Asia|2560.7;Eastern Europe|20031.24;Northern Europe|2451.24;Western Europe|18808.4;Oceania|15649.99;Russian Federation|18147.8;India|1974.48;Pakistan|6287.23;United States of America|29318.6;China|39241.2;"
1,3.0,"Middle Africa:Northern America|8127.88;South America|6176.65;Central Asia|898.15;Eastern Europe|7010.16;Northern Europe|859.48;Western Europe|6582.2;Oceania|5585.89;Russian Federation|15819.14;India|692.0;Pakistan|5479.01;United States of America|10260.75;China|34270.6;"
1,3.0,"Eastern Europe:Northern America|31256.84;South America|11091.52;Central Asia|16522.3;Eastern Europe|4135898.88;Northern Europe|17603.26;Western Europe|33684.0;Oceania|16692.11;Russian Federation|28491.8;India|45837.12;Pakistan|9889.95;United States of America|46469.9;China|63056.4;"
1,3.0,"Central Asia:Northern America|28313.9;South America|9400.0;Central Asia|1349841.55;Eastern Europe|57850.96;Northern Europe|16829.26;Western Europe|45046.4;Oceania|15188.45;Russian Federation|24028.28;India|40654.96;Pakistan|8339.45;United States of America|47941.1;China|53220.4;"
1,3.0,"Southern Europe:Northern America|59277.36;South America|6969.88;Central Asia|5570.5;Eastern Europe|43616.72;Northern Europe|5332.46;Western Europe|40958.6;Oceania|24494.71;Russian Federation|19885.16;India|4299.84;Pakistan|6886.7;United States of America|63850.7;China|41700.2;"
1,3.0,"Central America:Northern America|32198.88;South America|7231.68;Central Asia|3009.4;Eastern Europe|23566.32;Northern Europe|2884.52;Western Europe|22132.4;Oceania|13238.3;Russian Federation|18522.28;India|2322.52;Pakistan|6417.84;United States of America|34498.55;China|39142.0;"
1,3.0,"Southern Asia:Northern America|76380.16;South America|7208.65;Central Asia|7892.5;Eastern Europe|61807.12;Northern Europe|7558.48;Western Europe|58044.4;Oceania|42522.59;Russian Federation|20560.66;India|6090.0;Pakistan|7121.42;United States of America|90484.7;China|42153.0;"
1,3.0,"Western Asia:Northern America|36425.1;South America|6670.12;Central Asia|3743.6;Eastern Europe|29308.04;Northern Europe|3586.8;Western Europe|27519.4;Oceania|20182.71;Russian Federation|19023.84;India|2886.68;Pakistan|6590.41;United States of America|42900.25;China|40631.2;"
1,3.0,"Eastern Asia:Northern America|160417.78;South America|7602.11;Central Asia|19197.15;Eastern Europe|128376.36;Northern Europe|15697.72;Western Europe|120556.0;Oceania|85754.22;Russian Federation|20170.0;India|10133.2;Pakistan|6743.1;United States of America|187932.95;China|43042.0;"
1,3.0,"Southern Africa:Northern America|7037.22;South America|6068.44;Central Asia|774.9;Eastern Europe|6069.36;Northern Europe|746.34;Western Europe|5698.0;Oceania|4852.11;Russian Federation|15542.82;India|599.72;Pakistan|5381.63;United States of America|8885.55;China|33720.0;"
1,3.0,"South-Eastern Asia:Northern America|94753.8;South America|7338.63;Central Asia|9751.8;Eastern Europe|76352.56;Northern Europe|9336.42;Western Europe|71702.2;Oceania|51968.65;Russian Federation|20928.4;India|7521.08;Pakistan|7248.77;United States of America|111775.5;China|42133.2;"
1,3.0,"Caribbean:Northern America|28258.56;South America|7114.48;Central Asia|2639.65;Eastern Europe|20653.68;Northern Europe|2526.0;Western Europe|19395.2;Oceania|11603.2;Russian Federation|18216.84;India|2037.48;Pakistan|6309.1;United States of America|30235.1;China|38654.6;"
1,4.0,"Pakistan:Northern America|47577.86;South America|9339.84;Central Asia|6489.44;Eastern Europe|47565.62;Northern Europe|6078.5;Western Europe|44697.3;Oceania|25285.68;Russian Federation|23813.72;India|3817.8;Pakistan|1052705.38;United States of America|62968.13;China|52018.6;"
1,4.0,"India:Northern America|31394.22;South America|7981.62;Central Asia|17286.16;Eastern Europe|39266.51;Northern Europe|18163.95;Western Europe|33297.31;Oceania|17224.96;Russian Federation|23290.43;India|4630265.7;Pakistan|8102.02;United States of America|46581.6;China|50879.6;"
1,4.0,"Western Europe:Northern America|29974.18;South America|9724.3;Central Asia|13943.6;Eastern Europe|53578.64;Northern Europe|14894.9;Western Europe|2717898.83;Oceania|16102.16;Russian Federation|24847.0;India|39235.89;Pakistan|8645.52;United States of America|44441.4;China|54246.0;"
1,4.0,"China:Northern America|296440.0;South America|9862.96;Central Asia|39100.04;Eastern Europe|302911.75;Northern Europe|37304.45;Western Europe|284293.73;Oceania|155954.32;Russian Federation|28963.76;India|15374.69;Pakistan|8746.1;United States of America|395881.06;China|6862765.8;"
1,4.0,"United States of America:Northern America|29386.5;South America|9712.56;Central Asia|13871.52;Eastern Europe|54092.59;Northern Europe|14802.35;Western Europe|47812.61;Oceania|15648.56;Russian Federation|24764.11;India|38972.67;Pakistan|8607.88;United States of America|2892067.01;China|54059.2;"
1,4.0,"Northern Africa:Northern America|230245.3;South America|7055.24;Central Asia|24717.2;Eastern Europe|180579.91;Northern Europe|21141.3;Western Europe|188356.08;Oceania|105836.92;Russian Federation|17984.37;India|9890.98;Pakistan|7770.36;United States of America|267252.19;China|39284.2;"
1,4.0,"Russian Federation:Northern America|423988.66;South America|9154.02;Central Asia|49034.84;Eastern Europe|381362.66;Northern Europe|46877.25;Western Europe|357945.81;Oceania|195998.2;Russian Federation|2968310.01;India|18376.46;Pakistan|8120.06;United States of America|564569.6;China|50998.8;"
1,4.0,"Western Africa:Northern America|27879.42;South America|7161.24;Central Asia|2909.76;Eastern Europe|22753.76;Northern Europe|2785.2;Western Europe|21351.61;Oceania|18700.36;Russian Federation|18339.19;India|2245.58;Pakistan|6352.6;United States of America|33672.52;China|36504.0;"
1,4.0,"South America:Northern America|51125.12;South America|1195839.22;Central Asia|6559.88;Eastern Europe|50653.92;Northern Europe|6493.65;Western Europe|47886.15;Oceania|26894.52;Russian Federation|23998.31;India|2249.61;Pakistan|8350.26;United States of America|67059.37;China|52425.2;"
1,4.0,"Northern Europe:Northern America|28945.96;South America|8452.4;Central Asia|14083.52;Eastern Europe|57681.22;Northern Europe|1473612.7;Western Europe|45283.33;Oceania|15547.56;Russian Federation|21550.73;India|34385.4;Pakistan|7496.9;United States of America|47063.13;China|47076.8;"
1,4.0,"Northern America:Northern America|704309.22;South America|8216.46;Central Asia|13329.28;Eastern Europe|48598.89;Northern Europe|15661.65;Western Europe|37669.11;Oceania|12186.96;Russian Federation|22603.75;India|40551.79;Pakistan|6557.0;United States of America|49048.85;China|39670.6;"
1,4.0,"Oceania:Northern America|21030.34;South America|7825.02;Central Asia|11818.4;Eastern Europe|43084.87;Northern Europe|12537.75;Western Europe|33392.38;Oceania|368230.12;Russian Federation|20038.87;India|34918.22;Pakistan|6944.46;United States of America|43479.81;China|37386.6;"
1,4.0,"Eastern Africa:Northern America|22599.24;South America|5662.6;Central Asia|2526.76;Eastern Europe|19768.74;Northern Europe|2418.3;Western Europe|18549.91;Oceania|18056.52;Russian Federation|17974.46;India|1952.41;Pakistan|6229.0;United States of America|29253.58;China|37386.8;"
1,4.0,"Middle Africa:Northern America|7723.38;South America|5979.56;Central Asia|864.84;Eastern Europe|6754.11;Northern Europe|827.15;Western Europe|6338.66;Oceania|6410.32;Russian Federation|15302.26;India|668.01;Pakistan|5304.16;United States of America|9999.74;China|32009.2;"
1,4.0,"Eastern Europe:Northern America|31548.04;South America|9931.68;Central Asia|14308.6;Eastern Europe|4130021.05;Northern Europe|15278.25;Western Europe|33655.52;Oceania|17041.52;Russian Federation|25447.33;India|40352.15;Pakistan|8853.9;United States of America|46953.15;China|55552.2;"
1,4.0,"Central Asia:Northern America|28528.26;South America|8376.48;Central Asia|1349630.16;Eastern Europe|57164.9;Northern Europe|16633.35;Western Europe|44648.42;Oceania|15546.52;Russian Federation|21357.84;India|35674.83;Pakistan|7428.28;United States of America|48190.89;China|46656.4;"
1,4.0,"Southern Europe:Northern America|63476.6;South America|6282.44;Central Asia|5571.8;Eastern Europe|43593.6;Northern Europe|5332.05;Western Europe|40907.3;Oceania|24379.72;Russian Federation|19947.23;India|4303.29;Pakistan|6911.48;United States of America|64518.17;China|38942.4;"
1,4.0,"Central America:Northern America|34339.92;South America|7187.58;Central Asia|2982.28;Eastern Europe|23331.64;Northern Europe|2854.6;Western Europe|21897.32;Oceania|13048.32;Russian Federation|18405.33;India|2304.97;Pakistan|6378.62;United States of America|34533.54;China|36578.2;"
1,4.0,"Southern Asia:Northern America|80254.36;South America|6523.48;Central Asia|7925.64;Eastern Europe|62022.12;Northern Europe|7590.0;Western Europe|58197.49;Oceania|44896.68;Russian Federation|20703.73;India|6120.22;Pakistan|7175.2;United States of America|91789.85;China|38508.0;"
1,4.0,"Western Asia:Northern America|35680.88;South America|5976.12;Central Asia|3721.04;Eastern Europe|29119.37;Northern Europe|3562.2;Western Europe|27324.19;Oceania|23725.84;Russian Federation|18969.1;India|2877.61;Pakistan|6571.28;United States of America|43099.15;China|38472.8;"
1,4.0,"Eastern Asia:Northern America|171106.98;South America|6918.0;Central Asia|19377.48;Eastern Europe|129550.93;Northern Europe|15847.45;Western Europe|121563.76;Oceania|88585.92;Russian Federation|18310.54;India|10233.35;Pakistan|6139.14;United States of America|191731.08;China|38537.4;"
1,4.0,"Southern Africa:Northern America|6664.56;South America|5852.4;Central Asia|748.28;Eastern Europe|5831.45;Northern Europe|715.05;Western Europe|5471.96;Oceania|5560.8;Russian Federation|14982.01;India|578.38;Pakistan|5189.72;United States of America|8626.92;China|31439.6;"
1,4.0,"South-Eastern Asia:Northern America|100114.06;South America|6651.4;Central Asia|9806.12;Eastern Europe|76768.02;Northern Europe|9393.0;Western Europe|72037.87;Oceania|54443.32;Russian Federation|21118.55;India|7578.08;Pakistan|7317.18;United States of America|113617.22;China|37745.0;"
1,4.0,"Caribbean:Northern America|30101.4;South America|7053.46;Central Asia|2609.52;Eastern Europe|20400.74;Northern Europe|2496.85;Western Europe|19143.5;Oceania|11406.08;Russian Federation|18060.19;India|2014.41;Pakistan|6254.88;United States of America|30189.6;China|36187.6;"
1,5.0,"Pakistan:Northern America|49080.84;South America|8380.24;Central Asia|6866.94;Eastern Europe|49243.4;Northern Europe|6472.89;Western Europe|46264.62;Oceania|25991.34;Russian Federation|21326.96;India|4169.78;Pakistan|1058698.44;United States of America|65167.6;China|46878.4;"
1,5.0,"India:Northern America|32461.52;South America|7137.02;Central Asia|17597.03;Eastern Europe|40110.88;Northern Europe|18672.17;Western Europe|34081.12;Oceania|17801.8;Russian Federation|20777.17;India|4626322.87;Pakistan|7242.58;United States of America|47745.04;China|45677.4;"
1,5.0,"Western Europe:Northern America|29867.5;South America|8469.34;Central Asia|11960.37;Eastern Europe|45839.8;Northern Europe|12987.05;Western Europe|2705788.16;Oceania|15886.11;Russian Federation|21591.44;India|33673.06;Pakistan|7528.0;United States of America|43802.48;China|47444.6;"
1,5.0,"China:Northern America|300167.34;South America|8902.7;Central Asia|40253.62;Eastern Europe|310471.92;Northern Europe|38904.18;Western Europe|291179.98;Oceania|156525.34;Russian Federation|29210.5;India|15891.1;Pakistan|7895.96;United States of America|405215.24;China|6909950.4;"
1,5.0,"United States of America:Northern America|28937.38;South America|8390.42;Central Asia|11804.23;Eastern Europe|45914.18;Northern Europe|12808.85;Western Europe|43532.7;Oceania|15193.8;Russian Federation|21353.54;India|33179.12;Pakistan|7438.36;United States of America|2857554.28;China|46903.2;"
