"run","tick","averagePrice","exchangedQuantity"
1,115.0,1.44125,3.833589483999999E7
1,116.0,1.4270833333333333,3.823263429000001E7
1,117.0,1.4475,3.8258400989999995E7
1,118.0,1.42375,3.831330057E7
1,119.0,1.4224999999999999,3.831193843E7
1,120.0,1.4124999999999999,3.832150962E7
1,121.0,1.4112500000000001,3.8299717339999996E7
1,122.0,1.39,3.828135213999999E7
1,123.0,1.4208333333333334,3.8143076800000004E7
1,124.0,1.4037499999999998,3.821152457E7
1,125.0,1.3966666666666665,3.823515627E7
1,126.0,1.3891666666666669,3.820131187E7
1,127.0,1.4258333333333333,3.772360444E7
1,128.0,1.4224999999999999,3.787443958E7
1,129.0,1.4533333333333334,3.762836394E7
1,130.0,1.4675,3.781460829E7
1,131.0,1.4749999999999999,3.804152833E7
1,132.0,1.4812500000000002,3.819067632000001E7
1,133.0,1.46875,3.82447406E7
1,134.0,1.465833333333333,3.849213368000001E7
1,135.0,1.4375000000000002,3.850978735000001E7
1,136.0,1.4283333333333332,3.854353862E7
1,137.0,1.4120833333333331,3.843356266E7
1,138.0,1.4000000000000001,3.852148144E7
1,139.0,1.4141666666666668,3.807710848E7
1,140.0,1.4570833333333333,3.7861830559999995E7
1,141.0,1.4404166666666665,3.8135091370000005E7
1,142.0,1.4233333333333333,3.820977267E7
1,143.0,1.4170833333333333,3.819791789999999E7
1,144.0,1.4316666666666664,3.810066155E7
1,145.0,1.4729166666666667,3.78828767E7
1,146.0,1.4558333333333333,3.814135422E7
1,147.0,1.4454166666666668,3.8253813349999994E7
1,148.0,1.4420833333333334,3.831694932E7
1,149.0,1.4275,3.835479061E7
1,150.0,1.4375,3.8280225419999994E7
1,151.0,1.4154166666666665,3.825316481E7
1,152.0,1.4004166666666669,3.841726054000001E7
1,153.0,1.4012499999999999,3.824176092E7
1,154.0,1.4045833333333335,3.8288658300000004E7
1,155.0,1.3845833333333333,3.832559103E7
1,156.0,1.38,3.828916542E7
1,157.0,1.3825,3.814989375999999E7
1,158.0,1.3908333333333336,3.8098142739999995E7
1,159.0,1.3995833333333334,3.811807503E7
1,160.0,1.3912499999999999,3.8185974989999995E7
1,161.0,1.4016666666666668,3.811968493000001E7
1,162.0,1.39625,3.811912052E7
1,163.0,1.4179166666666667,3.813274148E7
1,164.0,1.4108333333333334,3.8200330910000004E7
