Country,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013
Eastern Asia,JPN,36.019075365944,136.881947315984,7906759,8221365.25275798,8263244.41775918,8303917.82536328,8343743.35875326,8377927.86110596,8408247.079165,8437730.99440806,8475833.4669027,8528378.13189207,8582147.02502142,8628240.54841136,8677673.56168093,8735083.13002151,8801563.34701152,8874088.35153328,8947127.41756985,8999089.74497828,9047627.27946014,9095393.80975154,9140324.8101441,9181088.0852761
Southern Asia,IRN,32.5189173176254,54.2854514968914,15270799,15639431.3881507,16096866.6368105,16558747.8619911,17021286.7484657,17473524.760763,17917964.7884029,18319214.0286637,18645222.1695794,18915781.5036913,19137225.9550354,19257387.4404502,19326328.1378717,19418285.5844757,19568503.2647198,19748528.3154262,19956604.8311812,20289459.1652561,20634556.2020387,20989696.8821124,21352270.1949077,21719575.9204997
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,5782211,6421933.12227433,6721540.08367797,7006321.22490086,7288898.45847753,7561106.5691438,7661858.26106463,7761123.08470608,7911096.63575685,8133361.35857136,8441307.6913479,8819749.59455903,9165201.65122106,9431701.43789811,9661654.19616249,9937362.45401468,10232091.1997492,10618590.5212932,11002665.3525705,11401177.8942263,11816599.8759143,12246317.3886141
Western Asia,IRQ,33.0368223410367,43.7569114187134,22307450,22289296.7917676,22558102.909322,22840064.6402903,23131298.5352857,23430632.2146235,23846055.5737195,24344319.2670032,24860673.3715019,25340039.2007548,25777046.6594704,26222373.8400385,26672575.7687753,27091556.4277567,27507244.4737646,27924572.0848679,28300519.842592,28584926.4199632,28876197.575239,29162345.043499,29441016.8742611,29714631.8290136
Eastern Europe,POL,52.1482602193319,19.3110143084487,19505160,19357045.2538023,19179946.3817716,19006817.0102302,18834895.4357209,18656646.3815703,18527545.4199697,18426995.8845293,18324453.342345,18210981.3625536,18091869.6124546,17926441.372267,17713079.2911393,17467895.4004379,17217770.4036966,16993772.9559605,16785076.9801494,16643553.2141086,16512912.4257205,16389675.0773864,16272710.1414941,16160812.303497
Northern Europe,GBR,53.8833587148482,-2.65799297938563,7887756,7641138.92923811,7803245.72184647,7966681.49594687,8129200.83197393,8300547.13969197,8481544.01254408,8655928.17795746,8811930.5315142,8932766.03303105,9026820.72879729,9108813.80033982,9182996.48198218,9242983.12761235,9288221.7676353,9334928.63705605,9379787.75398337,9418112.47469656,9462824.58995659,9507600.12832794,9550593.75173301,9592185.55154399
Southern Europe,ITA,43.472476107586,12.2194764873985,17454768,17453619.0858788,17444006.253888,17433513.2518341,17421579.2774551,17408508.4311295,17379944.7788608,17344133.3180576,17303458.6303277,17260633.5425547,17238459.2435075,17265905.8291224,17328874.9140846,17422422.0870669,17543404.1106349,17682190.2395781,17833486.8272341,17990532.3384328,18145470.2372925,18298603.1885361,18450340.0270352,18601223.6699123
Western Europe,NLD,52.2987003744418,5.5122171009654,13413601,13847952.4074215,14090797.2736445,14327258.1908367,14559635.5678507,14782913.2603704,14988728.7912644,15208219.5123077,15424265.1980195,15644164.0489749,15881515.27535,16133364.6321803,16355043.807232,16539257.9977246,16733305.9127592,16967154.6141158,17194822.176944,17347837.0272611,17492959.9010623,17642370.4199998,17790308.1727286,17931639.0621296
Oceania,NZL,-43.9858177329728,170.513011374997,1581530,1670898.26564882,1701764.48837413,1730570.34921854,1758631.44107311,1783733.73437554,1784476.15836052,1784066.34748675,1788928.58247985,1792695.57263062,1795199.01503897,1802640.68895587,1820539.60111563,1848471.65312616,1887285.96593943,1940139.69527155,2001298.21917293,2045178.00300751,2086616.79565278,2127164.07005718,2165317.06953696,2200215.02207562
Russian Federation,RUS,61.6925647074082,99.2165267869251,19216515,19444755.6800351,19456931.8132881,19465057.6995658,19475288.7089291,19468952.6657008,19382253.47952,19330995.5488182,19287452.0978455,19226077.4676692,19184644.2959141,19162745.0572696,19118624.031768,19033536.4789756,18949382.4282836,18898528.548768,18863722.2834466,18859909.2483463,18848354.3773571,18839747.7631246,18835755.9273925,18836070.8784165
India,IND,22.9250064074085,79.5937037632538,54157355,54198378.2247897,55696449.6004026,57215484.3898315,58764961.1905363,60412566.6735392,62086330.6916775,63480350.846223,64487033.2794145,65055761.2983191,65230422.1861,65292202.8261302,65574008.015753,66206818.2701527,67069932.3344421,68224858.1976296,69496445.1106042,70456612.7261743,71473801.9268483,72473007.3621791,73431735.3356477,74359910.6732782
Pakistan,PAK,29.9734600255474,69.4139980631813,14704089,15333591.5089533,15754484.2288027,16178668.2109518,16595963.3065811,16976545.6997389,17219596.6765127,17360212.3956028,17402017.1236411,17375810.278761,17341742.6478084,17378421.1593294,17521602.4077532,17778656.3978585,18114803.1550792,18486708.837083,18859406.651688,19243494.8226511,19626776.2147417,20014237.0482772,20404335.2878341,20794939.0005847
United States of America,USA,39.5015541259931,-99.0602406280213,21679690,22488906.2454626,22867057.2544926,23242894.1152861,23616608.6461596,23967770.9336059,24224061.9761173,24389092.0350388,24502770.7223052,24592717.1402419,24670372.7760285,24744430.2820127,24841176.9622448,24959291.6190814,25056723.8872873,25129162.5560571,25193919.8179038,25267568.594039,25346042.6960716,25420877.2823831,25498840.0624835,25585525.1758344
China,CPR,36.6094323800447,103.865365256658,95956180,97770745.9289531,98006716.2026696,98199435.6612063,98350034.1713848,98399631.0501839,97874072.4666541,97019059.61533,95915693.9765757,94705285.4621799,93537276.1205238,92547076.874287,91725349.72948,90985206.3464781,90273369.2754146,89563649.2441084,89030841.9733149,88869825.1855008,88685199.9742013,88501383.5941936,88353935.0776021,88258597.5808125

